city,country,latitude,longitude,property_name,property_type,site_review_rating,state,traveller_rating,,,,,,,,,,,,,,,,,,,
Mysore,India,12.421516,76.681695,Amblee Holiday Resort,Hotel,,,Location:4.3/5 | Hospitality:3.2/5 | Facilities:3.0/5 | Cleanliness:2.9/5 | Value for Money:3.2/5 | Food:3.2/5,,,,,,,,,,,,,,,,,,,
Munnar,India,9.989989,77.06995,The Aruvi Resort,Hotel,,kerala,Location:4.6/5 | Hospitality:4.5/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Munnar,India,10.03104,77.047384,Winter Casa Resort,Hotel,,,,,,,,,,,,,,,,,,,,,,
Patnitop,India,0,0,Hotel Dogra Residency,Hotel,,Jammu And Kashmir,,,,,,,,,,,,,,,,,,,,
Nasik,India,20.008587,73.794296,Singhania Guest House,Hotel,,maharashtra,,,,,,,,,,,,,,,,,,,,
Kasol,India,32.009549,77.316763,Hotel Krishna Palace,Hotel,,Himachal Pradesh,Location:3.0/5 | Hospitality:2.7/5 | Facilities:2.3/5 | Cleanliness:2.7/5 | Value for Money:2.7/5 | Food:2.7/5,,,,,,,,,,,,,,,,,,,
Bhatinda,India,0,0,DI Residency,Hotel,,Punjab,,,,,,,,,,,,,,,,,,,,
Itanagar,India,0,0,Hotel Kameng,Hotel,,arunachal pradesh,,,,,,,,,,,,,,,,,,,,
Nasik,India,0,0,Hotel Shree Leela International Manmad,Hotel,,Maharashtra,,,,,,,,,,,,,,,,,,,,
Nainital,India,29.398018,79.444534,Alpine Club,Hotel,,Uttaranchal,Location:2.8/5 | Hospitality:2.2/5 | Facilities:3.0/5 | Cleanliness:3.2/5 | Value for Money:2.8/5 | Food:0.8/5,,,,,,,,,,,,,,,,,,,
Orchha,India,25.351837,78.636118,Hotel Sunset,Hotel,,Madhya Pradesh,Location:4.9/5 | Hospitality:4.8/5 | Facilities:4.8/5 | Cleanliness:4.2/5 | Value for Money:4.8/5 | Food:1.7/5,,,,,,,,,,,,,,,,,,,
Junagarh,India,21.523497,70.455288,Hotel Vishala,Hotel,,Gujarat,,,,,,,,,,,,,,,,,,,,
Kovalam and Poovar,India,8.38637,76.978122,Hotel Pappukutty Beach Resort,Hotel,,Kerala,Location:4.6/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.3/5 | Food:2.9/5,,,,,,,,,,,,,,,,,,,
Munnar,India,10.021297,77.054798,Broad Bean resort &spa,Hotel,,kerala,Location:5.0/5 | Hospitality:5.0/5 | Facilities:4.0/5 | Cleanliness:4.0/5 | Value for Money:5.0/5 | Food:0.0/5,,,,,,,,,,,,,,,,,,,
Nasik,India,19.9469,73.7654,Feel Like Home,Hotel,,Maharashtra,,,,,,,,,,,,,,,,,,,,
Mysore,India,12.309186,76.662407,Hotel Sandesh The Prince,Hotel,,Karnataka,Location:4.8/5 | Hospitality:4.6/5 | Facilities:4.5/5 | Cleanliness:4.4/5 | Value for Money:4.5/5 | Food:2.1/5,,,,,,,,,,,,,,,,,,,
Hyderabad,India,17.433,78.3681,alcove service apartments jubilee hills,Hotel,,telangana,,,,,,,,,,,,,,,,,,,,
Jabalpur,India,23.1553,79.9257,Hotel Gulzar Towers,Hotel,,Madhya Pradesh,,,,,,,,,,,,,,,,,,,,
Junagarh,India,0,0,Murlidhar Guest House,Hotel,,Junagadh,,,,,,,,,,,,,,,,,,,,
Junagarh,India,0,0,Hotel Shree Krishna and Janta Lodge,Hotel,,Gujarat,,,,,,,,,,,,,,,,,,,,
Kodaikanal,India,0,0,Cubix Cottage,Hotel,,tamil nadu,,,,,,,,,,,,,,,,,,,,
Kolkata,India,22.622087,88.445603,Pipal Tree Hotel,Hotel,,West Bengal,Location:4.6/5 | Hospitality:4.0/5 | Facilities:4.2/5 | Cleanliness:3.7/5 | Value for Money:4.0/5 | Food:2.8/5,,,,,,,,,,,,,,,,,,,
Kanyakumari,India,8.083317,77.549958,HOTEL TEMPLE CITI,Hotel,,Tamil Nadu,Location:0.0/5 | Hospitality:0.0/5 | Facilities:4.8/5 | Cleanliness:4.8/5 | Value for Money:0.0/5 | Food:0.0/5,,,,,,,,,,,,,,,,,,,
Munnar,India,10.073772,77.064231,Archana Residency,Hotel,,kerala,Location:3.9/5 | Hospitality:4.8/5 | Facilities:3.8/5 | Cleanliness:4.1/5 | Value for Money:4.0/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Jamshedpur,India,22.8629259,86.205174,Hotel Golden Leaf Resort,Hotel,,Jharkhand,,,,,,,,,,,,,,,,,,,,
Murudeshwar,India,14.812762,74.13095,Sea View Beach Resort,Hotel,,,Location:2.7/5 | Hospitality:2.3/5 | Facilities:2.0/5 | Cleanliness:2.0/5 | Value for Money:2.3/5 | Food:2.0/5,,,,,,,,,,,,,,,,,,,
Muvattupuzha,India,0,0,Sheela Inn,Hotel,,,,,,,,,,,,,,,,,,,,,,
Nathdwara,India,0,0,Hotel Sudarshan,Hotel,,Rajasthan,Location:4.3/5 | Hospitality:3.5/5 | Facilities:3.3/5 | Cleanliness:4.3/5 | Value for Money:3.0/5 | Food:0.0/5,,,,,,,,,,,,,,,,,,,
Nathdwara,India,24.941213,73.823705,Hotel Gokuldham,Hotel,,Rajasthan,,,,,,,,,,,,,,,,,,,,
Mandawa,India,28.053947,75.148114,Hotel Radhika Haveli Mandawa,Hotel,,Rajasthan,Location:4.2/5 | Hospitality:4.2/5 | Facilities:4.2/5 | Cleanliness:4.2/5 | Value for Money:4.2/5 | Food:4.2/5,,,,,,,,,,,,,,,,,,,
Daman,India,20.438246,72.83072,Devka Beach Homestay,Hotel,,daman,,,,,,,,,,,,,,,,,,,,
Hyderabad,India,17.425058,78.425487,Falcons Nest- Banjara Hills,Hotel,,Andhra Pradesh,Location:3.7/5 | Hospitality:3.9/5 | Facilities:3.4/5 | Cleanliness:3.5/5 | Value for Money:3.9/5 | Food:3.2/5,,,,,,,,,,,,,,,,,,,
Najibabad,India,0,0,Hotel Rajan,Hotel,,UP,,,,,,,,,,,,,,,,,,,,
Munnar,India,10.000891,77.06109,Season7 The Nature Resort,Hotel,,kerala,Location:4.8/5 | Hospitality:5.0/5 | Facilities:5.0/5 | Cleanliness:4.0/5 | Value for Money:5.0/5 | Food:3.2/5,,,,,,,,,,,,,,,,,,,
Shimoga,India,0,0,Rainbow Hospitality Holiday Home NH 13,Hotel,,,,,,,,,,,,,,,,,,,,,,
